domain,season,metric,comparison,units,omitted_model,full_mean,leave_one_out_mean,full_sign,leave_one_out_sign,sign_changed,model_count
appalachian_interior,DJF,tasmax_mean,G6solar - SSP5-8.5,degC,UKESM1-0-LL,-1.8861879,-1.6754116,-1,-1,False,3
appalachian_interior,DJF,tasmax_mean,G6sulfur - SSP5-8.5,degC,CNRM-ESM2-1,-1.1067702,-0.9168216,-1,-1,False,3
appalachian_interior,DJF,tasmax_mean,G6sulfur - SSP5-8.5,degC,IPSL-CM6A-LR,-1.1067702,-0.8338104,-1,-1,False,3
appalachian_interior,DJF,tasmax_mean,G6sulfur - SSP5-8.5,degC,MPI-ESM1-2-LR,-1.1067702,-1.8114360,-1,-1,False,3
appalachian_interior,DJF,tasmax_mean,G6sulfur - SSP5-8.5,degC,UKESM1-0-LL,-1.1067702,-0.8650126,-1,-1,False,3
appalachian_interior,JJA,pr_mean,G6solar - G6sulfur,mm/day,CNRM-ESM2-1,0.0777324,0.1489138,1,1,False,3
appalachian_interior,JJA,pr_mean,G6solar - G6sulfur,mm/day,IPSL-CM6A-LR,0.0777324,-0.0564445,1,-1,True,3
appalachian_interior,JJA,pr_mean,G6solar - G6sulfur,mm/day,MPI-ESM1-2-LR,0.0777324,0.1162622,1,1,False,3
appalachian_interior,JJA,pr_mean,G6solar - G6sulfur,mm/day,UKESM1-0-LL,0.0777324,0.1021983,1,1,False,3
appalachian_interior,JJA,pr_mean,G6solar - SSP5-8.5,mm/day,CNRM-ESM2-1,-0.1139848,-0.0222392,-1,-1,False,3
appalachian_interior,JJA,pr_mean,G6solar - SSP5-8.5,mm/day,IPSL-CM6A-LR,-0.1139848,-0.1196677,-1,-1,False,3
appalachian_interior,JJA,pr_mean,G6solar - SSP5-8.5,mm/day,MPI-ESM1-2-LR,-0.1139848,-0.1567354,-1,-1,False,3
appalachian_interior,JJA,pr_mean,G6solar - SSP5-8.5,mm/day,UKESM1-0-LL,-0.1139848,-0.1572971,-1,-1,False,3
appalachian_interior,JJA,pr_mean,G6sulfur - SSP5-8.5,mm/day,CNRM-ESM2-1,-0.1917173,-0.1711530,-1,-1,False,3
appalachian_interior,JJA,pr_mean,G6sulfur - SSP5-8.5,mm/day,IPSL-CM6A-LR,-0.1917173,-0.0632232,-1,-1,False,3
appalachian_interior,JJA,pr_mean,G6sulfur - SSP5-8.5,mm/day,MPI-ESM1-2-LR,-0.1917173,-0.2729976,-1,-1,False,3
appalachian_interior,JJA,pr_mean,G6sulfur - SSP5-8.5,mm/day,UKESM1-0-LL,-0.1917173,-0.2594953,-1,-1,False,3
appalachian_interior,JJA,tasmax_mean,G6solar - G6sulfur,degC,CNRM-ESM2-1,-0.3732534,-0.4060014,-1,-1,False,3
appalachian_interior,JJA,tasmax_mean,G6solar - G6sulfur,degC,IPSL-CM6A-LR,-0.3732534,-0.3121024,-1,-1,False,3
appalachian_interior,JJA,tasmax_mean,G6solar - G6sulfur,degC,MPI-ESM1-2-LR,-0.3732534,-0.3924358,-1,-1,False,3
appalachian_interior,JJA,tasmax_mean,G6solar - G6sulfur,degC,UKESM1-0-LL,-0.3732534,-0.3824742,-1,-1,False,3
appalachian_interior,JJA,tasmax_mean,G6solar - SSP5-8.5,degC,CNRM-ESM2-1,-2.4307622,-2.6915776,-1,-1,False,3
appalachian_interior,JJA,tasmax_mean,G6solar - SSP5-8.5,degC,IPSL-CM6A-LR,-2.4307622,-2.3623748,-1,-1,False,3
appalachian_interior,JJA,tasmax_mean,G6solar - SSP5-8.5,degC,MPI-ESM1-2-LR,-2.4307622,-2.6185155,-1,-1,False,3
appalachian_interior,JJA,tasmax_mean,G6solar - SSP5-8.5,degC,UKESM1-0-LL,-2.4307622,-2.0505811,-1,-1,False,3
appalachian_interior,JJA,tasmax_mean,G6sulfur - SSP5-8.5,degC,CNRM-ESM2-1,-2.0575088,-2.2855762,-1,-1,False,3
appalachian_interior,JJA,tasmax_mean,G6sulfur - SSP5-8.5,degC,IPSL-CM6A-LR,-2.0575088,-2.0502724,-1,-1,False,3
appalachian_interior,JJA,tasmax_mean,G6sulfur - SSP5-8.5,degC,MPI-ESM1-2-LR,-2.0575088,-2.2260797,-1,-1,False,3
appalachian_interior,JJA,tasmax_mean,G6sulfur - SSP5-8.5,degC,UKESM1-0-LL,-2.0575088,-1.6681069,-1,-1,False,3
appalachian_interior,MAM,pr_mean,G6solar - G6sulfur,mm/day,CNRM-ESM2-1,0.1499830,0.1001447,1,1,False,3
appalachian_interior,MAM,pr_mean,G6solar - G6sulfur,mm/day,IPSL-CM6A-LR,0.1499830,0.1307330,1,1,False,3
appalachian_interior,MAM,pr_mean,G6solar - G6sulfur,mm/day,MPI-ESM1-2-LR,0.1499830,0.1812147,1,1,False,3
appalachian_interior,MAM,pr_mean,G6solar - G6sulfur,mm/day,UKESM1-0-LL,0.1499830,0.1878396,1,1,False,3
appalachian_interior,MAM,pr_mean,G6solar - SSP5-8.5,mm/day,CNRM-ESM2-1,-0.1980885,-0.3612136,-1,-1,False,3
appalachian_interior,MAM,pr_mean,G6solar - SSP5-8.5,mm/day,IPSL-CM6A-LR,-0.1980885,-0.1289269,-1,-1,False,3
appalachian_interior,MAM,pr_mean,G6solar - SSP5-8.5,mm/day,MPI-ESM1-2-LR,-0.1980885,-0.2673789,-1,-1,False,3
appalachian_interior,MAM,pr_mean,G6solar - SSP5-8.5,mm/day,UKESM1-0-LL,-0.1980885,-0.0348344,-1,-1,False,3
appalachian_interior,MAM,pr_mean,G6sulfur - SSP5-8.5,mm/day,CNRM-ESM2-1,-0.3480715,-0.4613583,-1,-1,False,3
appalachian_interior,MAM,pr_mean,G6sulfur - SSP5-8.5,mm/day,IPSL-CM6A-LR,-0.3480715,-0.2596600,-1,-1,False,3
appalachian_interior,MAM,pr_mean,G6sulfur - SSP5-8.5,mm/day,MPI-ESM1-2-LR,-0.3480715,-0.4485937,-1,-1,False,3
appalachian_interior,MAM,pr_mean,G6sulfur - SSP5-8.5,mm/day,UKESM1-0-LL,-0.3480715,-0.2226741,-1,-1,False,3
appalachian_interior,MAM,tasmax_mean,G6solar - G6sulfur,degC,CNRM-ESM2-1,-0.2060818,-0.4024751,-1,-1,False,3
appalachian_interior,MAM,tasmax_mean,G6solar - G6sulfur,degC,IPSL-CM6A-LR,-0.2060818,-0.0619460,-1,-1,False,3
appalachian_interior,MAM,tasmax_mean,G6solar - G6sulfur,degC,MPI-ESM1-2-LR,-0.2060818,-0.0853612,-1,-1,False,3
appalachian_interior,MAM,tasmax_mean,G6solar - G6sulfur,degC,UKESM1-0-LL,-0.2060818,-0.2745451,-1,-1,False,3
appalachian_interior,MAM,tasmax_mean,G6solar - SSP5-8.5,degC,CNRM-ESM2-1,-2.1525639,-2.3550939,-1,-1,False,3
appalachian_interior,MAM,tasmax_mean,G6solar - SSP5-8.5,degC,IPSL-CM6A-LR,-2.1525639,-1.9601249,-1,-1,False,3
appalachian_interior,MAM,tasmax_mean,G6solar - SSP5-8.5,degC,MPI-ESM1-2-LR,-2.1525639,-2.2522364,-1,-1,False,3
appalachian_interior,MAM,tasmax_mean,G6solar - SSP5-8.5,degC,UKESM1-0-LL,-2.1525639,-2.0428006,-1,-1,False,3
appalachian_interior,MAM,tasmax_mean,G6sulfur - SSP5-8.5,degC,CNRM-ESM2-1,-1.9464821,-1.9526188,-1,-1,False,3
appalachian_interior,MAM,tasmax_mean,G6sulfur - SSP5-8.5,degC,IPSL-CM6A-LR,-1.9464821,-1.8981789,-1,-1,False,3
appalachian_interior,MAM,tasmax_mean,G6sulfur - SSP5-8.5,degC,MPI-ESM1-2-LR,-1.9464821,-2.1668751,-1,-1,False,3
appalachian_interior,MAM,tasmax_mean,G6sulfur - SSP5-8.5,degC,UKESM1-0-LL,-1.9464821,-1.7682556,-1,-1,False,3
appalachian_interior,SON,pr_mean,G6solar - G6sulfur,mm/day,CNRM-ESM2-1,0.0820499,0.0807387,1,1,False,3
appalachian_interior,SON,pr_mean,G6solar - G6sulfur,mm/day,IPSL-CM6A-LR,0.0820499,0.1956737,1,1,False,3
