model,variant_label,grid_label,comparison,season,metric,units,period,represented_area_km2,contributing_cells,equivalent_cells,value,domain
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,MAM,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.1599950,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,MAM,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-0.4019685,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,SON,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,0.0420595,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,SON,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-0.3674505,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,ANN,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.0188275,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,ANN,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-2.1256878,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,DJF,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.1408677,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,DJF,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-1.9515742,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,JJA,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,0.2332561,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,JJA,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-2.2657806,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,MAM,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,0.1039009,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,MAM,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-2.2599317,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,SON,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.2894144,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,SON,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-2.0864338,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,ANN,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.0543024,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,ANN,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-1.7209851,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,DJF,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.1360556,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,DJF,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-1.4125266,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,JJA,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.0223313,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,JJA,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-1.9171918,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,MAM,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,0.2638958,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,MAM,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-1.8579632,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,SON,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.3314739,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,SON,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-1.7189833,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - G6sulfur,ANN,pr_mean,mm/day,2071-2100,3844691.7860933,135,104.1086672,0.0910382,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - G6sulfur,ANN,tasmax_mean,degC,2071-2100,3844691.7860933,135,104.1086672,-0.8101714,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - G6sulfur,DJF,pr_mean,mm/day,2071-2100,3844691.7860933,135,104.1086672,0.2183180,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - G6sulfur,DJF,tasmax_mean,degC,2071-2100,3844691.7860933,135,104.1086672,-1.5677184,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - G6sulfur,JJA,pr_mean,mm/day,2071-2100,3844691.7860933,135,104.1086672,-0.1035830,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - G6sulfur,JJA,tasmax_mean,degC,2071-2100,3844691.7860933,135,104.1086672,-0.4018555,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - G6sulfur,MAM,pr_mean,mm/day,2071-2100,3844691.7860933,135,104.1086672,0.1344332,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - G6sulfur,MAM,tasmax_mean,degC,2071-2100,3844691.7860933,135,104.1086672,-0.7632020,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - G6sulfur,SON,pr_mean,mm/day,2071-2100,3844691.7860933,135,104.1086672,0.1061172,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - G6sulfur,SON,tasmax_mean,degC,2071-2100,3844691.7860933,135,104.1086672,-0.5017658,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - SSP5-8.5,ANN,pr_mean,mm/day,2071-2100,3844691.7860933,135,104.1086672,-0.0058565,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - SSP5-8.5,ANN,tasmax_mean,degC,2071-2100,3844691.7860933,135,104.1086672,-1.7208342,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - SSP5-8.5,DJF,pr_mean,mm/day,2071-2100,3844691.7860933,135,104.1086672,-0.0712935,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - SSP5-8.5,DJF,tasmax_mean,degC,2071-2100,3844691.7860933,135,104.1086672,-1.2129400,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - SSP5-8.5,JJA,pr_mean,mm/day,2071-2100,3844691.7860933,135,104.1086672,0.1168748,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - SSP5-8.5,JJA,tasmax_mean,degC,2071-2100,3844691.7860933,135,104.1086672,-1.9535230,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - SSP5-8.5,MAM,pr_mean,mm/day,2071-2100,3844691.7860933,135,104.1086672,0.1413525,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - SSP5-8.5,MAM,tasmax_mean,degC,2071-2100,3844691.7860933,135,104.1086672,-1.8205063,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - SSP5-8.5,SON,pr_mean,mm/day,2071-2100,3844691.7860933,135,104.1086672,-0.2472363,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar - SSP5-8.5,SON,tasmax_mean,degC,2071-2100,3844691.7860933,135,104.1086672,-1.8290661,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur - SSP5-8.5,ANN,pr_mean,mm/day,2071-2100,3844691.7860933,135,104.1086672,-0.0968947,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur - SSP5-8.5,ANN,tasmax_mean,degC,2071-2100,3844691.7860933,135,104.1086672,-0.9106628,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur - SSP5-8.5,DJF,pr_mean,mm/day,2071-2100,3844691.7860933,135,104.1086672,-0.2896115,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur - SSP5-8.5,DJF,tasmax_mean,degC,2071-2100,3844691.7860933,135,104.1086672,0.3547783,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur - SSP5-8.5,JJA,pr_mean,mm/day,2071-2100,3844691.7860933,135,104.1086672,0.2204577,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur - SSP5-8.5,JJA,tasmax_mean,degC,2071-2100,3844691.7860933,135,104.1086672,-1.5516675,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur - SSP5-8.5,MAM,pr_mean,mm/day,2071-2100,3844691.7860933,135,104.1086672,0.0069193,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur - SSP5-8.5,MAM,tasmax_mean,degC,2071-2100,3844691.7860933,135,104.1086672,-1.0573043,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur - SSP5-8.5,SON,pr_mean,mm/day,2071-2100,3844691.7860933,135,104.1086672,-0.3533535,original_box
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur - SSP5-8.5,SON,tasmax_mean,degC,2071-2100,3844691.7860933,135,104.1086672,-1.3273003,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - G6sulfur,ANN,pr_mean,mm/day,2071-2100,3844689.7732745,180,155.3238565,0.0078412,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - G6sulfur,ANN,tasmax_mean,degC,2071-2100,3844689.7732745,180,155.3238565,-0.1530735,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - G6sulfur,DJF,pr_mean,mm/day,2071-2100,3844689.7732745,180,155.3238565,-0.0288991,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - G6sulfur,DJF,tasmax_mean,degC,2071-2100,3844689.7732745,180,155.3238565,-0.2813787,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - G6sulfur,JJA,pr_mean,mm/day,2071-2100,3844689.7732745,180,155.3238565,0.1382297,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - G6sulfur,JJA,tasmax_mean,degC,2071-2100,3844689.7732745,180,155.3238565,-0.1877699,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - G6sulfur,MAM,pr_mean,mm/day,2071-2100,3844689.7732745,180,155.3238565,-0.2719453,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - G6sulfur,MAM,tasmax_mean,degC,2071-2100,3844689.7732745,180,155.3238565,0.0574168,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - G6sulfur,SON,pr_mean,mm/day,2071-2100,3844689.7732745,180,155.3238565,0.1897363,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - G6sulfur,SON,tasmax_mean,degC,2071-2100,3844689.7732745,180,155.3238565,-0.2737959,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - SSP5-8.5,ANN,pr_mean,mm/day,2071-2100,3844689.7732745,180,155.3238565,-0.0531098,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - SSP5-8.5,ANN,tasmax_mean,degC,2071-2100,3844689.7732745,180,155.3238565,-2.4222977,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - SSP5-8.5,DJF,pr_mean,mm/day,2071-2100,3844689.7732745,180,155.3238565,-0.1251321,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - SSP5-8.5,DJF,tasmax_mean,degC,2071-2100,3844689.7732745,180,155.3238565,-2.0971711,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - SSP5-8.5,JJA,pr_mean,mm/day,2071-2100,3844689.7732745,180,155.3238565,0.3665669,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - SSP5-8.5,JJA,tasmax_mean,degC,2071-2100,3844689.7732745,180,155.3238565,-2.7507253,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - SSP5-8.5,MAM,pr_mean,mm/day,2071-2100,3844689.7732745,180,155.3238565,-0.2687019,original_box
