domain,metric,units,season,comparison,model_count,positive_mean_count,negative_mean_count,zero_mean_count,temporal_ci_positive_count,temporal_ci_negative_count,temporal_ci_includes_zero_count,ensemble_mean_difference,ensemble_median_difference,inter_model_sd,minimum_model_mean,maximum_model_mean
original_box,pr_mean,mm/day,ANN,G6sulfur - SSP5-8.5,4,0,4,0,0,0,4,-0.0550869,-0.0576267,0.0364295,-0.0968947,-0.0081995
original_box,pr_mean,mm/day,DJF,G6solar - G6sulfur,4,2,2,0,0,0,4,0.0669650,0.0392207,0.1118256,-0.0288991,0.2183180
original_box,pr_mean,mm/day,DJF,G6solar - SSP5-8.5,4,1,3,0,0,0,4,-0.0566926,-0.0982128,0.1153887,-0.1408677,0.1105230
original_box,pr_mean,mm/day,DJF,G6sulfur - SSP5-8.5,4,1,3,0,0,1,3,-0.1236576,-0.1161443,0.1306720,-0.2896115,0.0272696
original_box,pr_mean,mm/day,JJA,G6solar - G6sulfur,4,3,1,0,2,0,2,0.1273941,0.1787859,0.1616125,-0.1035830,0.2555874
original_box,pr_mean,mm/day,JJA,G6solar - SSP5-8.5,4,4,0,0,2,0,2,0.1991800,0.1750654,0.1292958,0.0800224,0.3665669
original_box,pr_mean,mm/day,JJA,G6sulfur - SSP5-8.5,4,2,2,0,1,0,3,0.0717860,0.0990632,0.1826064,-0.1393197,0.2283372
original_box,pr_mean,mm/day,MAM,G6solar - G6sulfur,4,1,3,0,0,0,4,-0.0849617,-0.1011674,0.1737274,-0.2719453,0.1344332
original_box,pr_mean,mm/day,MAM,G6solar - SSP5-8.5,4,3,1,0,0,0,4,0.0536177,0.1226267,0.2221731,-0.2687019,0.2379191
original_box,pr_mean,mm/day,MAM,G6sulfur - SSP5-8.5,4,4,0,0,1,0,3,0.1385794,0.1354076,0.1543022,0.0032434,0.2802589
original_box,pr_mean,mm/day,SON,G6solar - G6sulfur,4,3,1,0,0,0,4,0.0789554,0.0740884,0.0905206,-0.0220915,0.1897363
original_box,pr_mean,mm/day,SON,G6solar - SSP5-8.5,4,0,4,0,0,2,2,-0.2340868,-0.2384606,0.0495278,-0.2894144,-0.1700119
original_box,pr_mean,mm/day,SON,G6sulfur - SSP5-8.5,4,0,4,0,0,3,1,-0.3130422,-0.3424137,0.0713340,-0.3597482,-0.2075933
original_box,tasmax_mean,degC,ANN,G6solar - G6sulfur,4,0,4,0,0,2,2,-0.3579963,-0.2788881,0.3341900,-0.8101714,-0.0640376
original_box,tasmax_mean,degC,ANN,G6solar - SSP5-8.5,4,0,4,0,0,4,0,-1.9374273,-1.9232610,0.4186807,-2.4222977,-1.4808897
original_box,tasmax_mean,degC,ANN,G6sulfur - SSP5-8.5,4,0,4,0,0,4,0,-1.5794311,-1.5689186,0.5684878,-2.2692242,-0.9106628
original_box,tasmax_mean,degC,DJF,G6solar - G6sulfur,4,0,4,0,0,1,3,-0.6029880,-0.4102131,0.6766771,-1.5677184,-0.0238074
original_box,tasmax_mean,degC,DJF,G6solar - SSP5-8.5,4,0,4,0,0,4,0,-1.6206559,-1.5862562,0.4699575,-2.0971711,-1.2129400
original_box,tasmax_mean,degC,DJF,G6sulfur - SSP5-8.5,4,1,3,0,0,3,1,-1.0176679,-1.3048287,0.9502161,-1.8157925,0.3547783
original_box,tasmax_mean,degC,JJA,G6solar - G6sulfur,4,0,4,0,0,4,0,-0.3080213,-0.3212298,0.0914899,-0.4018555,-0.1877699
original_box,tasmax_mean,degC,JJA,G6solar - SSP5-8.5,4,0,4,0,0,4,0,-2.1694791,-2.1096518,0.4497499,-2.7507253,-1.7078874
original_box,tasmax_mean,degC,JJA,G6sulfur - SSP5-8.5,4,0,4,0,0,4,0,-1.8614578,-1.7344297,0.5136078,-2.5629554,-1.4140165
original_box,tasmax_mean,degC,MAM,G6solar - G6sulfur,4,2,2,0,0,1,3,-0.2489736,-0.1722758,0.4130834,-0.7632020,0.1118593
original_box,tasmax_mean,degC,MAM,G6solar - SSP5-8.5,4,0,4,0,0,4,0,-1.9431518,-2.0082667,0.3555068,-2.2599317,-1.4961419
original_box,tasmax_mean,degC,MAM,G6sulfur - SSP5-8.5,4,0,4,0,0,4,0,-1.6941782,-1.7329822,0.5008787,-2.2534440,-1.0573043
original_box,tasmax_mean,degC,SON,G6solar - G6sulfur,4,0,4,0,0,3,1,-0.3033228,-0.3206232,0.1813589,-0.5017658,-0.0702791
original_box,tasmax_mean,degC,SON,G6solar - SSP5-8.5,4,0,4,0,0,4,0,-2.0342496,-1.9577499,0.5423750,-2.7533939,-1.4681048
original_box,tasmax_mean,degC,SON,G6sulfur - SSP5-8.5,4,0,4,0,0,4,0,-1.7309268,-1.5584045,0.5274220,-2.4795980,-1.3273003
southeast_land,pr_mean,mm/day,ANN,G6solar - G6sulfur,4,2,2,0,0,0,4,0.0168975,0.0185298,0.0432197,-0.0310077,0.0615381
southeast_land,pr_mean,mm/day,ANN,G6solar - SSP5-8.5,4,0,4,0,0,1,3,-0.0923438,-0.0790503,0.1015250,-0.2058459,-0.0054285
southeast_land,pr_mean,mm/day,ANN,G6sulfur - SSP5-8.5,4,0,4,0,0,0,4,-0.1092413,-0.0930917,0.0662790,-0.1987749,-0.0520069
southeast_land,pr_mean,mm/day,DJF,G6solar - G6sulfur,4,2,2,0,0,0,4,-0.0158151,0.0099934,0.1428136,-0.2111585,0.1279113
southeast_land,pr_mean,mm/day,DJF,G6solar - SSP5-8.5,4,1,3,0,0,1,3,-0.1333810,-0.1083522,0.2391528,-0.4355146,0.1186949
southeast_land,pr_mean,mm/day,DJF,G6sulfur - SSP5-8.5,4,1,3,0,0,0,4,-0.1175660,-0.1659099,0.1391730,-0.2243561,0.0859121
southeast_land,pr_mean,mm/day,JJA,G6solar - G6sulfur,4,3,1,0,1,0,3,0.1086756,0.1099775,0.2180524,-0.1402030,0.3549505
southeast_land,pr_mean,mm/day,JJA,G6solar - SSP5-8.5,4,3,1,0,0,0,4,0.0654828,0.1042032,0.1113563,-0.0962086,0.1497335
southeast_land,pr_mean,mm/day,JJA,G6sulfur - SSP5-8.5,4,2,2,0,0,2,2,-0.0431928,-0.0444856,0.2631817,-0.3062991,0.2224993
southeast_land,pr_mean,mm/day,MAM,G6solar - G6sulfur,4,1,3,0,0,0,4,-0.0893900,-0.1166090,0.1448697,-0.2258907,0.1015489
southeast_land,pr_mean,mm/day,MAM,G6solar - SSP5-8.5,4,3,1,0,0,0,4,-0.0579520,0.0248888,0.2279724,-0.3937081,0.1121225
southeast_land,pr_mean,mm/day,MAM,G6sulfur - SSP5-8.5,4,3,1,0,0,0,4,0.0314380,0.0396224,0.1580841,-0.1678173,0.2143245
southeast_land,pr_mean,mm/day,SON,G6solar - G6sulfur,4,2,2,0,0,0,4,0.0462865,0.0688045,0.1469209,-0.1323017,0.1798390
southeast_land,pr_mean,mm/day,SON,G6solar - SSP5-8.5,4,0,4,0,0,3,1,-0.2635342,-0.3030081,0.1536728,-0.3850298,-0.0630910
southeast_land,pr_mean,mm/day,SON,G6sulfur - SSP5-8.5,4,0,4,0,0,3,1,-0.3098208,-0.3141370,0.2160540,-0.5628188,-0.0481902
southeast_land,tasmax_mean,degC,ANN,G6solar - G6sulfur,4,0,4,0,0,2,2,-0.4098575,-0.2959216,0.4345298,-1.0142485,-0.0333383
southeast_land,tasmax_mean,degC,ANN,G6solar - SSP5-8.5,4,0,4,0,0,4,0,-2.1376360,-2.0815479,0.4868745,-2.7466080,-1.6408402
southeast_land,tasmax_mean,degC,ANN,G6sulfur - SSP5-8.5,4,0,4,0,0,4,0,-1.7277785,-1.7363208,0.7106849,-2.5799738,-0.8584985
southeast_land,tasmax_mean,degC,DJF,G6solar - G6sulfur,4,1,3,0,0,1,3,-0.7120776,-0.4214653,0.9372196,-2.0680229,0.0626431
southeast_land,tasmax_mean,degC,DJF,G6solar - SSP5-8.5,4,0,4,0,0,4,0,-1.7722991,-1.7983107,0.5514824,-2.3309096,-1.1616654
southeast_land,tasmax_mean,degC,DJF,G6sulfur - SSP5-8.5,4,1,3,0,0,3,1,-1.0602215,-1.5603218,1.3296689,-2.0265999,0.9063576
southeast_land,tasmax_mean,degC,JJA,G6solar - G6sulfur,4,0,4,0,0,4,0,-0.3744556,-0.4060014,0.0951763,-0.4470221,-0.2387975
southeast_land,tasmax_mean,degC,JJA,G6solar - SSP5-8.5,4,0,4,0,0,4,0,-2.4325927,-2.3302329,0.6111852,-3.2543850,-1.8155200
southeast_land,tasmax_mean,degC,JJA,G6sulfur - SSP5-8.5,4,0,4,0,0,4,0,-2.0581372,-1.8899541,0.6847544,-3.0155876,-1.4370529
southeast_land,tasmax_mean,degC,MAM,G6solar - G6sulfur,4,2,2,0,0,1,3,-0.2284873,-0.1229628,0.5040667,-0.8777134,0.2096899
southeast_land,tasmax_mean,degC,MAM,G6solar - SSP5-8.5,4,0,4,0,0,4,0,-2.1806535,-2.2489967,0.3546045,-2.5037919,-1.7208285
southeast_land,tasmax_mean,degC,MAM,G6sulfur - SSP5-8.5,4,0,4,0,0,4,0,-1.9521662,-2.0299334,0.5558321,-2.5388124,-1.2099857
southeast_land,tasmax_mean,degC,SON,G6solar - G6sulfur,4,0,4,0,0,2,2,-0.3573582,-0.3591747,0.2460782,-0.6550737,-0.0560097
southeast_land,tasmax_mean,degC,SON,G6solar - SSP5-8.5,4,0,4,0,0,4,0,-2.1827498,-2.0381235,0.6634185,-3.1086866,-1.5460656
southeast_land,tasmax_mean,degC,SON,G6sulfur - SSP5-8.5,4,0,4,0,0,4,0,-1.8253916,-1.6123358,0.6631966,-2.7827636,-1.2941312
