model,variant_label,grid_label,scenario,season,metric,units,period,calendar,represented_area_km2,contributing_cells,equivalent_cells,domain,value
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,SON,hwn_tx90_3d,events,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,3.1991659
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,SON,r95ptot,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,39.9457644
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,SON,rx1day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,30.7358775
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,SON,rx5day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,59.3810624
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,SON,txx,degC,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,34.7499764
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,ANN,cdd,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,34.7531375
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,ANN,hwd_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,19.7546851
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,ANN,hwf_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,122.5897922
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,ANN,hwn_tx90_3d,events,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,18.2206004
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,ANN,r95ptot,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,208.4893418
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,ANN,rx1day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,45.6013282
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,ANN,rx5day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,93.5934639
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,ANN,txx,degC,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,37.3662687
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,DJF,cdd,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,17.4607523
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,DJF,hwd_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,9.4070768
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,DJF,hwf_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,27.4865642
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,DJF,hwn_tx90_3d,events,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,4.6993709
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,DJF,r95ptot,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,73.8975544
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,DJF,rx1day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,35.3142074
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,DJF,rx5day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,67.0497178
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,DJF,txx,degC,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,25.7272132
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,JJA,cdd,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,18.4731364
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,JJA,hwd_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,15.8680485
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,JJA,hwf_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,41.4900670
