comparison,season,mean,median,std,minimum,maximum,model_count,fraction_positive,fraction_negative,sign_agreement,units
G6solar - G6sulfur,ANN,-0.356023,-0.270917,0.335068,-0.814917,-0.067339,4,0.000000,1.000000,1.000000,degC
G6solar - G6sulfur,DJF,-0.603724,-0.399397,0.683455,-1.583117,-0.032985,4,0.000000,1.000000,1.000000,degC
G6solar - G6sulfur,JJA,-0.302952,-0.316095,0.092536,-0.399741,-0.179878,4,0.000000,1.000000,1.000000,degC
G6solar - G6sulfur,MAM,-0.250794,-0.164497,0.407013,-0.776741,0.102561,4,0.500000,0.500000,0.500000,degC
G6solar - G6sulfur,SON,-0.298258,-0.317626,0.182223,-0.494150,-0.063630,4,0.000000,1.000000,1.000000,degC
G6solar - SSP5-8.5,ANN,-1.914021,-1.909325,0.388587,-2.353044,-1.484391,4,0.000000,1.000000,1.000000,degC
G6solar - SSP5-8.5,DJF,-1.594911,-1.574085,0.438049,-2.020075,-1.211400,4,0.000000,1.000000,1.000000,degC
G6solar - SSP5-8.5,JJA,-2.139466,-2.089147,0.413521,-2.668577,-1.710993,4,0.000000,1.000000,1.000000,degC
G6solar - SSP5-8.5,MAM,-1.930141,-1.986671,0.329614,-2.236032,-1.511191,4,0.000000,1.000000,1.000000,degC
G6solar - SSP5-8.5,SON,-2.007207,-1.941320,0.515223,-2.683261,-1.462928,4,0.000000,1.000000,1.000000,degC
G6sulfur - SSP5-8.5,ANN,-1.557999,-1.565377,0.544970,-2.201297,-0.899944,4,0.000000,1.000000,1.000000,degC
G6sulfur - SSP5-8.5,DJF,-0.991187,-1.293786,0.937447,-1.748894,0.371717,4,0.250000,0.750000,0.750000,degC
G6sulfur - SSP5-8.5,JJA,-1.836514,-1.721056,0.481223,-2.488699,-1.415244,4,0.000000,1.000000,1.000000,degC
G6sulfur - SSP5-8.5,MAM,-1.679348,-1.742266,0.478911,-2.181762,-1.051097,4,0.000000,1.000000,1.000000,degC
G6sulfur - SSP5-8.5,SON,-1.708949,-1.550984,0.500922,-2.417794,-1.316032,4,0.000000,1.000000,1.000000,degC
