model,variant_label,grid_label,domain,metric,units,season,comparison,mean_difference,median_difference,paired_interannual_sd,standard_error,standardized_effect_size,minimum_difference,maximum_difference,year_count,fraction_positive,fraction_negative,fraction_zero,lag1_autocorrelation,ci_lower,ci_upper,interval_classification,zero_inside_interval,bootstrap_replicates,block_length_years
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,ANN,G6solar - SSP5-8.5,-1.6372643,-1.5096658,1.0127157,0.1848957,-1.6167067,-4.2063832,0.0330889,30,0.0333333,0.9666667,0.0000000,0.3349323,-2.1939772,-1.1743767,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,ANN,G6sulfur - SSP5-8.5,-1.5618705,-1.4082457,1.0195415,0.1861420,-1.5319342,-3.4706985,-0.0119488,30,0.0000000,1.0000000,0.0000000,0.2609250,-2.0627088,-1.0936009,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,DJF,G6solar - G6sulfur,-0.0515034,0.2409407,2.0802151,0.3862863,-0.0247587,-3.4498789,3.8017129,29,0.5517241,0.4482759,0.0000000,0.0107332,-0.6943973,0.6272449,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,DJF,G6solar - SSP5-8.5,-1.5135493,-2.0040555,2.3219657,0.4311782,-0.6518397,-6.3683100,3.3466233,29,0.2068966,0.7931034,0.0000000,0.2584583,-2.6499059,-0.5846709,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,DJF,G6sulfur - SSP5-8.5,-1.4620459,-1.3373601,1.9336629,0.3590722,-0.7561018,-4.4810641,2.4273727,29,0.1724138,0.8275862,0.0000000,0.2066718,-2.3992086,-0.6028536,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,JJA,G6solar - G6sulfur,-0.4329044,-0.3828702,1.1345929,0.2071474,-0.3815504,-2.7259585,1.4698431,30,0.4000000,0.6000000,0.0000000,-0.0048348,-0.7200651,-0.1439503,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,JJA,G6solar - SSP5-8.5,-1.7834786,-2.0891303,1.4064451,0.2567806,-1.2680755,-4.6445848,0.9600658,30,0.1666667,0.8333333,0.0000000,0.2272849,-2.3567635,-1.2388975,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,JJA,G6sulfur - SSP5-8.5,-1.3505742,-1.2510090,1.3902662,0.2538267,-0.9714501,-3.6659018,1.3561514,30,0.1666667,0.8333333,0.0000000,0.0696741,-1.8392917,-0.8332856,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,MAM,G6solar - G6sulfur,0.1387260,0.2163338,1.3787213,0.2517189,0.1006193,-3.1868977,2.3878871,30,0.5333333,0.4666667,0.0000000,-0.2102386,-0.1769799,0.3926265,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,MAM,G6solar - SSP5-8.5,-1.7979346,-1.8815732,1.3424006,0.2450877,-1.3393429,-4.3729578,1.3243111,30,0.1000000,0.9000000,0.0000000,0.3785810,-2.4750176,-1.1742538,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,MAM,G6sulfur - SSP5-8.5,-1.9366606,-1.9227458,1.8066448,0.3298467,-1.0719653,-5.0427191,1.7719464,30,0.1666667,0.8333333,0.0000000,-0.0010319,-2.5821436,-1.3124711,below_zero,False,10000,5
