model,variant_label,grid_label,season,metric,comparison,value,units
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,hwn_tx90_3d,G6solar - G6sulfur,-1.805366,events
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,hwn_tx90_3d,G6solar - SSP5-8.5,0.834345,events
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,hwn_tx90_3d,G6sulfur - SSP5-8.5,2.639711,events
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,hwn_tx90_3d,G6solar - G6sulfur,-1.422882,events
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,hwn_tx90_3d,G6solar - SSP5-8.5,-1.302603,events
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,hwn_tx90_3d,G6sulfur - SSP5-8.5,0.120279,events
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,hwn_tx90_3d,G6solar - G6sulfur,0.267194,events
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,hwn_tx90_3d,G6solar - SSP5-8.5,2.040202,events
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,hwn_tx90_3d,G6sulfur - SSP5-8.5,1.773008,events
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,hwn_tx90_3d,G6solar - G6sulfur,-0.610374,events
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,hwn_tx90_3d,G6solar - SSP5-8.5,-0.684974,events
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,hwn_tx90_3d,G6sulfur - SSP5-8.5,-0.074600,events
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,hwn_tx90_3d,G6solar - G6sulfur,-0.315401,events
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,hwn_tx90_3d,G6solar - SSP5-8.5,-0.089432,events
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,hwn_tx90_3d,G6sulfur - SSP5-8.5,0.225968,events
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,r95ptot,G6solar - G6sulfur,29.347159,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,r95ptot,G6solar - SSP5-8.5,-25.821348,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,r95ptot,G6sulfur - SSP5-8.5,-55.168508,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,r95ptot,G6solar - G6sulfur,18.121822,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,r95ptot,G6solar - SSP5-8.5,-13.980657,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,r95ptot,G6sulfur - SSP5-8.5,-32.102479,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,r95ptot,G6solar - G6sulfur,0.004169,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,r95ptot,G6solar - SSP5-8.5,-3.009148,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,r95ptot,G6sulfur - SSP5-8.5,-3.013317,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,r95ptot,G6solar - G6sulfur,6.156403,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,r95ptot,G6solar - SSP5-8.5,-3.070790,mm
