domain,season,metric,comparison,units,mean,median,std,minimum,maximum,model_count,positive_count,negative_count,zero_count,sign_agreement,represented_area_km2,contributing_cells_min,contributing_cells_max,equivalent_cells_min,equivalent_cells_max
appalachian_interior,SON,tasmax_mean,G6solar - SSP5-8.5,degC,-2.4764652,-2.3074170,0.7706294,-3.5571246,-1.7339023,4,0,4,0,1.0000000,281429.9312217,17,33,8.1203357,14.4140338
appalachian_interior,SON,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.9992324,-1.7763663,0.7795768,-3.1124770,-1.3317198,4,0,4,0,1.0000000,281429.9312217,17,33,8.1203357,14.4140338
atlantic_southeast,ANN,pr_mean,G6solar - G6sulfur,mm/day,0.0050554,0.0145931,0.0903999,-0.0997377,0.0907729,4,2,2,0,0.5000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,ANN,pr_mean,G6solar - SSP5-8.5,mm/day,-0.1429346,-0.1912524,0.1628026,-0.2705578,0.0813242,4,1,3,0,0.7500000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,ANN,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.1479900,-0.1835889,0.1956456,-0.3463102,0.1215281,4,1,3,0,0.7500000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,ANN,tasmax_mean,G6solar - G6sulfur,degC,-0.4208414,-0.4003403,0.4425511,-0.9502802,0.0675949,4,1,3,0,0.7500000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,ANN,tasmax_mean,G6solar - SSP5-8.5,degC,-1.9959326,-1.9601346,0.4382757,-2.4848069,-1.5786544,4,0,4,0,1.0000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,ANN,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.5750912,-1.6526111,0.6359264,-2.2686383,-0.7265042,4,0,4,0,1.0000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,DJF,pr_mean,G6solar - G6sulfur,mm/day,0.0088730,0.0041030,0.0682636,-0.0672914,0.0945776,4,2,2,0,0.5000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,DJF,pr_mean,G6solar - SSP5-8.5,mm/day,-0.1415350,-0.1319985,0.1986978,-0.3463344,0.0441914,4,2,2,0,0.5000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,DJF,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.1504081,-0.1551745,0.2333602,-0.3711851,0.0799019,4,2,2,0,0.5000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,DJF,tasmax_mean,G6solar - G6sulfur,degC,-0.8587142,-0.6999903,0.9827764,-2.1829773,0.1481011,4,1,3,0,0.7500000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,DJF,tasmax_mean,G6solar - SSP5-8.5,degC,-1.6181686,-1.5480793,0.5812242,-2.2781790,-1.0983368,4,0,4,0,1.0000000,583809.8853028,36,53,16.1598165,28.6857876
