domain,variable,season,comparison,model,variant_label,grid_label,units,mean_difference,paired_sd,effect_size,bootstrap_lower,bootstrap_upper,interval_classification,sign_fraction,sign_fraction_direction,fraction_positive,fraction_negative,ensemble_mean,ensemble_median_difference,inter_model_sd,model_count,positive_mean_count,negative_mean_count,temporal_ci_positive_count,temporal_ci_negative_count,temporal_ci_includes_zero_count,source_per_model,source_ensemble
gulf_coast,pr,JJA,G6solar - G6sulfur,MPI-ESM1-2-LR,r2i1p1f1,gn,mm/day,-0.1854339,0.8303179,-0.2233287,-0.4517657,0.0500746,includes_zero,0.6666667,negative,0.3333333,0.6666667,0.1291241,0.1626269,0.2822500,4,2,2,2,0,2,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
gulf_coast,pr,JJA,G6solar - G6sulfur,UKESM1-0-LL,r1i1p1f2,gn,mm/day,-0.0329766,1.0276627,-0.0320889,-0.3838446,0.2715529,includes_zero,0.4666667,negative,0.5333333,0.4666667,0.1291241,0.1626269,0.2822500,4,2,2,2,0,2,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,pr,JJA,G6solar - G6sulfur,CNRM-ESM2-1,r1i1p1f2,gr,mm/day,0.2193422,0.4919806,0.4458350,0.1053222,0.3423705,above_zero,0.6333333,positive,0.6333333,0.3666667,0.1273941,0.1787859,0.1616125,4,3,1,2,0,2,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,pr,JJA,G6solar - G6sulfur,IPSL-CM6A-LR,r1i1p1f1,gr,mm/day,0.2555874,0.4229246,0.6043334,0.1608564,0.3637942,above_zero,0.7333333,positive,0.7333333,0.2666667,0.1273941,0.1787859,0.1616125,4,3,1,2,0,2,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,pr,JJA,G6solar - G6sulfur,MPI-ESM1-2-LR,r2i1p1f1,gn,mm/day,-0.1035830,0.6233329,-0.1661760,-0.2911438,0.0826768,includes_zero,0.6333333,negative,0.3666667,0.6333333,0.1273941,0.1787859,0.1616125,4,3,1,2,0,2,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,pr,JJA,G6solar - G6sulfur,UKESM1-0-LL,r1i1p1f2,gn,mm/day,0.1382297,0.7107434,0.1944861,-0.1461360,0.3686523,includes_zero,0.5666667,positive,0.5666667,0.4333333,0.1273941,0.1787859,0.1616125,4,3,1,2,0,2,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,pr,JJA,G6solar - G6sulfur,CNRM-ESM2-1,r1i1p1f2,gr,mm/day,0.2100905,0.7921183,0.2652262,-0.0286975,0.4216920,includes_zero,0.5666667,positive,0.5666667,0.4333333,0.1086756,0.1099775,0.2180524,4,3,1,1,0,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,pr,JJA,G6solar - G6sulfur,IPSL-CM6A-LR,r1i1p1f1,gr,mm/day,0.3549505,0.5532010,0.6416303,0.1760422,0.5177920,above_zero,0.8666667,positive,0.8666667,0.1333333,0.1086756,0.1099775,0.2180524,4,3,1,1,0,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,pr,JJA,G6solar - G6sulfur,MPI-ESM1-2-LR,r2i1p1f1,gn,mm/day,-0.1402030,0.7725705,-0.1814760,-0.3919994,0.0856158,includes_zero,0.6666667,negative,0.3333333,0.6666667,0.1086756,0.1099775,0.2180524,4,3,1,1,0,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,pr,JJA,G6solar - G6sulfur,UKESM1-0-LL,r1i1p1f2,gn,mm/day,0.0098644,0.8889424,0.0110968,-0.3856116,0.3395516,includes_zero,0.6000000,positive,0.6000000,0.4000000,0.1086756,0.1099775,0.2180524,4,3,1,1,0,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
gulf_coast,tasmax,JJA,G6solar - G6sulfur,CNRM-ESM2-1,r1i1p1f2,gr,degC,-0.4329044,1.1345929,-0.3815504,-0.7200651,-0.1439503,below_zero,0.6000000,negative,0.4000000,0.6000000,-0.3725135,-0.4033393,0.1234199,4,0,4,0,2,2,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
gulf_coast,tasmax,JJA,G6solar - G6sulfur,IPSL-CM6A-LR,r1i1p1f1,gr,degC,-0.3737742,0.8713278,-0.4289708,-0.7458377,0.0024415,includes_zero,0.5666667,negative,0.4333333,0.5666667,-0.3725135,-0.4033393,0.1234199,4,0,4,0,2,2,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
gulf_coast,tasmax,JJA,G6solar - G6sulfur,MPI-ESM1-2-LR,r2i1p1f1,gn,degC,-0.4833709,0.9657954,-0.5004900,-0.8667842,-0.1261538,below_zero,0.7333333,negative,0.2666667,0.7333333,-0.3725135,-0.4033393,0.1234199,4,0,4,0,2,2,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
gulf_coast,tasmax,JJA,G6solar - G6sulfur,UKESM1-0-LL,r1i1p1f2,gn,degC,-0.2000043,1.0969854,-0.1823218,-0.5306263,0.1540940,includes_zero,0.6000000,negative,0.4000000,0.6000000,-0.3725135,-0.4033393,0.1234199,4,0,4,0,2,2,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,tasmax,JJA,G6solar - G6sulfur,CNRM-ESM2-1,r1i1p1f2,gr,degC,-0.2938709,0.6676094,-0.4401838,-0.4688281,-0.0979926,below_zero,0.6000000,negative,0.4000000,0.6000000,-0.3080213,-0.3212298,0.0914899,4,0,4,0,4,0,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,tasmax,JJA,G6solar - G6sulfur,IPSL-CM6A-LR,r1i1p1f1,gr,degC,-0.3485888,0.5705109,-0.6110117,-0.5994890,-0.0875324,below_zero,0.7333333,negative,0.2666667,0.7333333,-0.3080213,-0.3212298,0.0914899,4,0,4,0,4,0,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,tasmax,JJA,G6solar - G6sulfur,MPI-ESM1-2-LR,r2i1p1f1,gn,degC,-0.4018555,0.5925905,-0.6781335,-0.6605280,-0.1679062,below_zero,0.7333333,negative,0.2666667,0.7333333,-0.3080213,-0.3212298,0.0914899,4,0,4,0,4,0,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,tasmax,JJA,G6solar - G6sulfur,UKESM1-0-LL,r1i1p1f2,gn,degC,-0.1877699,0.6734607,-0.2788134,-0.3148967,-0.0479461,below_zero,0.6000000,negative,0.4000000,0.6000000,-0.3080213,-0.3212298,0.0914899,4,0,4,0,4,0,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,tasmax,JJA,G6solar - G6sulfur,CNRM-ESM2-1,r1i1p1f2,gr,degC,-0.3784671,1.1299311,-0.3349471,-0.6795330,-0.0405999,below_zero,0.5333333,negative,0.4666667,0.5333333,-0.3744556,-0.4060014,0.0951763,4,0,4,0,4,0,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,tasmax,JJA,G6solar - G6sulfur,IPSL-CM6A-LR,r1i1p1f1,gr,degC,-0.4335356,0.8239273,-0.5261819,-0.7725314,-0.0942797,below_zero,0.7333333,negative,0.2666667,0.7333333,-0.3744556,-0.4060014,0.0951763,4,0,4,0,4,0,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,tasmax,JJA,G6solar - G6sulfur,MPI-ESM1-2-LR,r2i1p1f1,gn,degC,-0.4470221,0.9161244,-0.4879491,-0.8152638,-0.0951591,below_zero,0.6666667,negative,0.3333333,0.6666667,-0.3744556,-0.4060014,0.0951763,4,0,4,0,4,0,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,tasmax,JJA,G6solar - G6sulfur,UKESM1-0-LL,r1i1p1f2,gn,degC,-0.2387975,1.0572327,-0.2258703,-0.4379139,-0.0337326,below_zero,0.6000000,negative,0.4000000,0.6000000,-0.3744556,-0.4060014,0.0951763,4,0,4,0,4,0,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
gulf_coast,tasmax,MAM,G6solar - G6sulfur,CNRM-ESM2-1,r1i1p1f2,gr,degC,0.1387260,1.3787213,0.1006193,-0.1769799,0.3926265,includes_zero,0.5333333,positive,0.5333333,0.4666667,-0.2348723,-0.0404355,0.5483851,4,2,2,0,1,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
gulf_coast,tasmax,MAM,G6solar - G6sulfur,IPSL-CM6A-LR,r1i1p1f1,gr,degC,-0.2195970,1.2172165,-0.1804092,-0.7344432,0.3479884,includes_zero,0.6666667,negative,0.3333333,0.6666667,-0.2348723,-0.0404355,0.5483851,4,2,2,0,1,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
gulf_coast,tasmax,MAM,G6solar - G6sulfur,MPI-ESM1-2-LR,r2i1p1f1,gn,degC,-1.0152947,1.6964561,-0.5984798,-1.7734263,-0.2398191,below_zero,0.7333333,negative,0.2666667,0.7333333,-0.2348723,-0.0404355,0.5483851,4,2,2,0,1,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
gulf_coast,tasmax,MAM,G6solar - G6sulfur,UKESM1-0-LL,r1i1p1f2,gn,degC,0.1566766,1.4650130,0.1069456,-0.2810796,0.5942481,includes_zero,0.5000000,positive,0.5000000,0.5000000,-0.2348723,-0.0404355,0.5483851,4,2,2,0,1,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,tasmax,MAM,G6solar - G6sulfur,CNRM-ESM2-1,r1i1p1f2,gr,degC,0.1118593,1.0913492,0.1024964,-0.1736355,0.3859234,includes_zero,0.5666667,positive,0.5666667,0.4333333,-0.2489736,-0.1722758,0.4130834,4,2,2,0,1,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,tasmax,MAM,G6solar - G6sulfur,IPSL-CM6A-LR,r1i1p1f1,gr,degC,-0.4019685,1.0296015,-0.3904117,-0.8224941,0.0519290,includes_zero,0.6333333,negative,0.3666667,0.6333333,-0.2489736,-0.1722758,0.4130834,4,2,2,0,1,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,tasmax,MAM,G6solar - G6sulfur,MPI-ESM1-2-LR,r2i1p1f1,gn,degC,-0.7632020,1.1110311,-0.6869312,-1.2907674,-0.1854991,below_zero,0.8333333,negative,0.1666667,0.8333333,-0.2489736,-0.1722758,0.4130834,4,2,2,0,1,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,tasmax,MAM,G6solar - G6sulfur,UKESM1-0-LL,r1i1p1f2,gn,degC,0.0574168,1.2310272,0.0466414,-0.3481757,0.4690412,includes_zero,0.4666667,positive,0.4666667,0.5333333,-0.2489736,-0.1722758,0.4130834,4,2,2,0,1,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,tasmax,MAM,G6solar - G6sulfur,CNRM-ESM2-1,r1i1p1f2,gr,degC,0.2096899,1.4205198,0.1476149,-0.1302602,0.5284602,includes_zero,0.5333333,positive,0.5333333,0.4666667,-0.2284873,-0.1229628,0.5040667,4,2,2,0,1,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,tasmax,MAM,G6solar - G6sulfur,IPSL-CM6A-LR,r1i1p1f1,gr,degC,-0.3744436,1.3585742,-0.2756151,-0.9214122,0.2037382,includes_zero,0.5333333,negative,0.4666667,0.5333333,-0.2284873,-0.1229628,0.5040667,4,2,2,0,1,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,tasmax,MAM,G6solar - G6sulfur,MPI-ESM1-2-LR,r2i1p1f1,gn,degC,-0.8777134,1.6134796,-0.5439879,-1.5863867,-0.1145460,below_zero,0.7666667,negative,0.2333333,0.7666667,-0.2284873,-0.1229628,0.5040667,4,2,2,0,1,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,tasmax,MAM,G6solar - G6sulfur,UKESM1-0-LL,r1i1p1f2,gn,degC,0.1285180,1.5276839,0.0841261,-0.3456537,0.6206351,includes_zero,0.5333333,positive,0.5333333,0.4666667,-0.2284873,-0.1229628,0.5040667,4,2,2,0,1,3,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
